,Topic 0 words,Topic 0 weights,author_title
373,stać,4.0,ich_troje-psy
374,pies,3.0,ich_troje-psy
375,okno,3.0,ich_troje-psy
376,raz,9.0,ich_troje-taniec
377,góra,9.0,ich_troje-taniec
378,gra,9.0,ich_troje-taniec
379,trzasks,9.0,ich_troje-taniec
380,–,7.0,ich_troje-bledne_wojenne_rozkazy
381,oko,7.0,ich_troje-bledne_wojenne_rozkazy
382,drążyć,5.0,ich_troje-bledne_wojenne_rozkazy
383,rozkaz,4.0,ich_troje-bledne_wojenne_rozkazy
384,gwiazda,8.0,ich_troje-gwiezdna_noc
385,noc,5.0,ich_troje-gwiezdna_noc
386,pełny,5.0,ich_troje-gwiezdna_noc
387,koniec,5.0,ich_troje-gwiezdna_noc
388,odchodzić,10.0,ich_troje-zobacz
389,zostawać,7.0,ich_troje-zobacz
390,raz,5.0,ich_troje-zobacz
391,bać,4.0,ich_troje-zobacz
392,wiedzieć,8.0,ich_troje-idiota
393,idiota,7.0,ich_troje-idiota
394,kochać,6.0,ich_troje-idiota
395,chcieć,5.0,ich_troje-idiota
396,słowo,5.0,ich_troje-anioly
397,światłos,4.0,ich_troje-anioly
398,schować,4.0,ich_troje-anioly
399,chcieć,4.0,ich_troje-anioly
400,system,9.0,kult-anarchia
401,pali,9.0,kult-anarchia
402,wałya,5.0,kult-anarchia
403,trup,3.0,kult-anarchia
404,chcieć,7.0,kult-mlodzi_warszawiacy
405,młodya,7.0,kult-mlodzi_warszawiacy
406,szpaner,7.0,kult-mlodzi_warszawiacy
407,pojechać,7.0,kult-mlodzi_warszawiacy
408,cóż,6.0,kult-bal_kreslarzy
409,chcieć,4.0,kult-bal_kreslarzy
410,wybiec,3.0,kult-bal_kreslarzy
411,bonna,3.0,kult-bal_kreslarzy
412,światły,4.0,kult-zegarmistrz_swiatla_purpurowy
413,przyjść,4.0,kult-zegarmistrz_swiatla_purpurowy
414,dzień,4.0,kult-zegarmistrz_swiatla_purpurowy
415,gotowy,4.0,kult-zegarmistrz_swiatla_purpurowy
416,dzień,51.0,kult-tan
417,noc,41.0,kult-tan
418,prawod1,35.0,kult-tan
419,fabryka,18.0,kult-tan
420,dać,19.0,kult-pekniety_dom__czesc_2_
421,oddać,7.0,kult-pekniety_dom__czesc_2_
422,marzyć,7.0,kult-pekniety_dom__czesc_2_
423,polskia,7.0,kult-pekniety_dom__czesc_2_
424,bać,3.0,kult-a_kiedy_nic_was_nie_ochroni
425,zobaczyć,3.0,kult-a_kiedy_nic_was_nie_ochroni
426,człowiek,3.0,kult-a_kiedy_nic_was_nie_ochroni
427,zabrać,3.0,kult-a_kiedy_nic_was_nie_ochroni
428,chcieć,4.0,kult-czarne_slonca__wersja_z_filmu_
429,porównać,4.0,kult-czarne_slonca__wersja_z_filmu_
430,zobaczyć,3.0,kult-czarne_slonca__wersja_z_filmu_
431,raz,3.0,kult-czarne_slonca__wersja_z_filmu_
432,las,45.0,kult-lipcowy_poranek
433,the,11.0,kult-lipcowy_poranek
434,in,8.0,kult-lipcowy_poranek
435,anda,6.0,kult-lipcowy_poranek
436,ekipa,5.0,kult-dlaczego_tak_tu_jest
